2021-07-11 06:01:59 status unpacked liblz4-1:amd64 1.8.3-1+deb10u1
2021-07-11 06:02:00 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2021-07-11 06:02:00 status half-configured mawk:amd64 1.3.3-17+b3
2021-07-11 06:02:00 status unpacked mawk:amd64 1.3.3-17+b3
2021-07-11 06:02:00 status half-installed mawk:amd64 1.3.3-17+b3
2021-07-11 06:02:02 status unpacked mawk:amd64 1.3.3-17+b3
2021-07-11 06:02:03 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2021-07-11 06:02:03 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-07-11 06:02:04 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-07-11 06:02:04 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2021-07-11 06:02:04 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-07-11 06:02:06 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-07-11 06:02:06 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2021-07-11 06:02:06 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-07-11 06:02:11 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-07-11 06:02:11 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2021-07-11 06:02:11 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-07-11 06:02:14 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-07-11 06:02:14 install libhogweed4:amd64 <none> 3.4.1-1
2021-07-11 06:02:14 status half-installed libhogweed4:amd64 3.4.1-1
2021-07-11 06:02:15 status unpacked libhogweed4:amd64 3.4.1-1
2021-07-11 06:02:15 install libnettle6:amd64 <none> 3.4.1-1
2021-07-11 06:02:15 status half-installed libnettle6:amd64 3.4.1-1
2021-07-11 06:02:16 status unpacked libnettle6:amd64 3.4.1-1
